Entry	Protein names	Gene Ontology (molecular function)	Gene Ontology (cellular component)	Gene Ontology (biological process)
G4VCG8	V-type proton ATPase subunit G	proton-transporting ATPase activity, rotational mechanism [GO:0046961]	vacuolar proton-transporting V-type ATPase complex [GO:0016471]	
G4VCM2	protein O-GlcNAc transferase (EC 2.4.1.255)	protein O-acetylglucosaminyltransferase activity [GO:0097363]		protein O-linked glycosylation [GO:0006493]
G4VCN8	Dihydrolipoyl dehydrogenase (EC 1.8.1.4)	dihydrolipoyl dehydrogenase activity [GO:0004148]; flavin adenine dinucleotide binding [GO:0050660]		
G4VCW3	Histone H2A	DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]; structural constituent of chromatin [GO:0030527]	nucleosome [GO:0000786]; nucleus [GO:0005634]	
G4VD20	UDP-glucuronate decarboxylase (EC 4.1.1.35)	NAD+ binding [GO:0070403]; UDP-glucuronate decarboxylase activity [GO:0048040]		D-xylose metabolic process [GO:0042732]; UDP-D-xylose biosynthetic process [GO:0033320]
G4VD81	Kinesin-like protein	ATP binding [GO:0005524]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]	microtubule [GO:0005874]	microtubule-based movement [GO:0007018]
G4VDB2	Geranylgeranyl transferase type-2 subunit alpha (EC 2.5.1.60) (Geranylgeranyl transferase type II subunit alpha)	Rab geranylgeranyltransferase activity [GO:0004663]	Rab-protein geranylgeranyltransferase complex [GO:0005968]	protein geranylgeranylation [GO:0018344]
G4VDD2	Eukaryotic translation initiation factor 5A (eIF-5A)	ribosome binding [GO:0043022]; RNA binding [GO:0003723]; translation elongation factor activity [GO:0003746]		positive regulation of translational elongation [GO:0045901]; positive regulation of translational termination [GO:0045905]
G4VDF5	DNA replication complex GINS protein PSF1		GINS complex [GO:0000811]	DNA replication [GO:0006260]
G4VDI1	Essential MCU regulator, mitochondrial (Single-pass membrane protein with aspartate-rich tail 1, mitochondrial)		uniplex complex [GO:1990246]	calcium import into the mitochondrion [GO:0036444]; mitochondrial calcium ion homeostasis [GO:0051560]
G4VDJ1	Ccr4 not-related		CCR4-NOT core complex [GO:0030015]; nucleus [GO:0005634]; P-body [GO:0000932]	nuclear-transcribed mRNA poly(A) tail shortening [GO:0000289]; regulation of DNA-templated transcription [GO:0006355]; regulation of stem cell population maintenance [GO:2000036]
G4VDJ6	ADP-ribosylation factor	GTP binding [GO:0005525]; GTPase activity [GO:0003924]	Golgi apparatus [GO:0005794]	protein transport [GO:0015031]; vesicle-mediated transport [GO:0016192]
G4VDK0	RING-type E3 ubiquitin transferase (EC 2.3.2.27)	peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; ubiquitin-protein transferase activity [GO:0004842]	nucleus [GO:0005634]	protein folding [GO:0006457]; protein peptidyl-prolyl isomerization [GO:0000413]; protein ubiquitination [GO:0016567]
G4VDN9	Putative signal recognition particle receptor alpha subunit (Sr-alpha)	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; signal recognition particle binding [GO:0005047]	signal recognition particle receptor complex [GO:0005785]	SRP-dependent cotranslational protein targeting to membrane [GO:0006614]
G4VDP5	ER membrane protein complex subunit 6 (Transmembrane protein 93)		EMC complex [GO:0072546]	organelle organization [GO:0006996]
G4VDQ6	Sodium/calcium exchanger membrane region domain-containing protein	antiporter activity [GO:0015297]; calcium ion transmembrane transporter activity [GO:0015085]	membrane [GO:0016020]	
G4VDR5	Tetratricopeptide repeat protein 30		axonemal microtubule [GO:0005879]	intraciliary transport [GO:0042073]
G4VDS9	Prominin (Prom) protein		membrane [GO:0016020]	
G4VDU5	RNA methyltransferase (EC 2.1.1.-)	O-methyltransferase activity [GO:0008171]; RNA methyltransferase activity [GO:0008173]		
G4VDU6	60S ribosome subunit biogenesis protein NIP7 homolog	RNA binding [GO:0003723]	nucleolus [GO:0005730]	ribosome assembly [GO:0042255]
G4VDV2	Prefoldin subunit 3		prefoldin complex [GO:0016272]	protein folding [GO:0006457]
G4VDY7	Ubiquitin thioesterase OTU (EC 3.4.19.12)	cysteine-type deubiquitinase activity [GO:0004843]	cytoplasm [GO:0005737]	protein deubiquitination [GO:0016579]
G4VE33	ribose-phosphate diphosphokinase (EC 2.7.6.1)	ATP binding [GO:0005524]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; ribose phosphate diphosphokinase activity [GO:0004749]		5-phosphoribose 1-diphosphate biosynthetic process [GO:0006015]; nucleotide biosynthetic process [GO:0009165]; phosphorylation [GO:0016310]; ribonucleoside monophosphate biosynthetic process [GO:0009156]
G4VE51	Ribulose-phosphate 3-epimerase (EC 5.1.3.1)	D-ribulose-phosphate 3-epimerase activity [GO:0004750]; metal ion binding [GO:0046872]		carbohydrate metabolic process [GO:0005975]; pentose-phosphate shunt [GO:0006098]
G4VE56	Innexin		gap junction [GO:0005921]; plasma membrane [GO:0005886]	monoatomic ion transport [GO:0006811]
G4VE67	small monomeric GTPase (EC 3.6.5.2)	GTP binding [GO:0005525]; GTPase activity [GO:0003924]	membrane [GO:0016020]	Rap protein signal transduction [GO:0032486]
G4VE80	Nicotinamide phosphoribosyltransferase (EC 2.4.2.12)			NAD biosynthetic process [GO:0009435]
G4VEB2	SAGA-associated factor 11	metal ion binding [GO:0046872]	nucleus [GO:0005634]; SAGA-type complex [GO:0070461]	
G4VEC8	Histone-lysine N-trimethyltransferase SMYD5 (EC 2.1.1.372) (SET and MYND domain-containing protein 5) ([histone H4]-lysine20 N-trimethyltransferase SMYD5)	metal ion binding [GO:0046872]; transferase activity [GO:0016740]		histone lysine methylation [GO:0034968]
G4VEH8	Protein YIPF		Golgi membrane [GO:0000139]	endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]
G4VEH9	Protein YIPF		Golgi membrane [GO:0000139]	endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]
G4VEM1	UDP-glucose 4-epimerase (EC 5.1.3.2)	UDP-glucose 4-epimerase activity [GO:0003978]; UDP-N-acetylglucosamine 4-epimerase activity [GO:0003974]		galactose metabolic process [GO:0006012]
G4VEN8	Thioredoxin-like protein		U4/U6 x U5 tri-snRNP complex [GO:0046540]; U5 snRNP [GO:0005682]	mRNA splicing, via spliceosome [GO:0000398]
G4VEW1	One cut domain family member	DNA binding [GO:0003677]	nucleus [GO:0005634]	
G4VEX0	Fanconi-associated nuclease (EC 3.1.4.1)	metal ion binding [GO:0046872]; phosphodiesterase I activity [GO:0004528]	nucleus [GO:0005634]	interstrand cross-link repair [GO:0036297]
G4VEX1	Fanconi-associated nuclease (EC 3.1.4.1)	metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]; phosphodiesterase I activity [GO:0004528]	nucleus [GO:0005634]	interstrand cross-link repair [GO:0036297]
G4VEY5	rRNA biogenesis protein RRP36		nucleolus [GO:0005730]; ribonucleoprotein complex [GO:1990904]	cleavage involved in rRNA processing [GO:0000469]
G4VEZ0	RING-type E3 ubiquitin transferase (EC 2.3.2.27)	metal ion binding [GO:0046872]; ubiquitin protein ligase activity [GO:0061630]	endoplasmic reticulum [GO:0005783]	protein ubiquitination [GO:0016567]; ubiquitin-dependent protein catabolic process [GO:0006511]
G4VF13	GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase (EC 2.4.1.131)	GDP-Man:Man3GlcNAc2-PP-Dol alpha-1,2-mannosyltransferase activity [GO:0004377]	endoplasmic reticulum membrane [GO:0005789]	protein glycosylation [GO:0006486]
G4VF55	RNA-binding protein 8A	mRNA binding [GO:0003729]	cytoplasm [GO:0005737]; nuclear speck [GO:0016607]	mRNA processing [GO:0006397]; mRNA transport [GO:0051028]; RNA splicing [GO:0008380]
G4VF75	T-complex protein 1 subunit epsilon (CCT-epsilon)	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; unfolded protein binding [GO:0051082]	cytoplasm [GO:0005737]	
G4VFB4	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2 (Complex I-B8) (NADH-ubiquinone oxidoreductase B8 subunit)		mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	
G4VFC2	Protein disulfide-isomerase (EC 5.3.4.1)	protein disulfide isomerase activity [GO:0003756]	endoplasmic reticulum lumen [GO:0005788]	
G4VFD1	UDP-glucose 6-dehydrogenase (EC 1.1.1.22)	NAD binding [GO:0051287]; UDP-glucose 6-dehydrogenase activity [GO:0003979]		UDP-glucuronate biosynthetic process [GO:0006065]
G4VFD7	Dihydroorotate dehydrogenase (quinone), mitochondrial (EC 1.3.5.2)	dihydroorotate dehydrogenase (quinone) activity [GO:0106430]	cytoplasm [GO:0005737]; membrane [GO:0016020]	'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]
G4VFE8	Histone H2A	DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]; structural constituent of chromatin [GO:0030527]	nucleosome [GO:0000786]; nucleus [GO:0005634]	
G4VFH0	Zinc finger protein 830 (Coiled-coil domain-containing protein 16)	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	spliceosomal complex [GO:0005681]	
G4VFH6	Succinate dehydrogenase assembly factor 2, mitochondrial (SDH assembly factor 2) (SDHAF2)		mitochondrial matrix [GO:0005759]	mitochondrial electron transport, succinate to ubiquinone [GO:0006121]; protein-FAD linkage [GO:0018293]
G4VFI4	60S acidic ribosomal protein P2	structural constituent of ribosome [GO:0003735]	cytosolic large ribosomal subunit [GO:0022625]	cytoplasmic translational elongation [GO:0002182]
G4VFI9	Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8)	peptidyl-prolyl cis-trans isomerase activity [GO:0003755]		protein folding [GO:0006457]; protein peptidyl-prolyl isomerization [GO:0000413]
G4VFM1	Inhibitor of growth protein	metal ion binding [GO:0046872]	nucleus [GO:0005634]	chromatin organization [GO:0006325]
G4VFM6	Ubiquitin-related modifier 1 homolog		cytosol [GO:0005829]	protein urmylation [GO:0032447]; tRNA thio-modification [GO:0034227]; tRNA wobble uridine modification [GO:0002098]
G4VFP2	aminoacyl-tRNA hydrolase (EC 3.1.1.29)	aminoacyl-tRNA hydrolase activity [GO:0004045]	membrane [GO:0016020]	
G4VFQ0	Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8)	peptidyl-prolyl cis-trans isomerase activity [GO:0003755]		protein folding [GO:0006457]; protein peptidyl-prolyl isomerization [GO:0000413]
G4VFS6	Snurportin-1	RNA binding [GO:0003723]	cytoplasm [GO:0005737]; nucleus [GO:0005634]	snRNA import into nucleus [GO:0061015]
G4VFV4	small monomeric GTPase (EC 3.6.5.2)	GTP binding [GO:0005525]; GTPase activity [GO:0003924]	membrane [GO:0016020]	Rap protein signal transduction [GO:0032486]
G4VFY4	Putative histone H3	DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]; structural constituent of chromatin [GO:0030527]	nucleosome [GO:0000786]	
G4VG01	Receptor expression-enhancing protein		membrane [GO:0016020]	
G4VG38	60S ribosomal protein L9	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]	translation [GO:0006412]
G4VG40	Dipeptidyl peptidase 3 (EC 3.4.14.4) (Dipeptidyl aminopeptidase III) (Dipeptidyl peptidase III)	aminopeptidase activity [GO:0004177]; dipeptidyl-peptidase activity [GO:0008239]; metal ion binding [GO:0046872]; metalloexopeptidase activity [GO:0008235]	cytoplasm [GO:0005737]	proteolysis [GO:0006508]
G4VG42	Dipeptidyl peptidase 1 (Cathepsin C) (Cathepsin J) (Dipeptidyl peptidase I) (Dipeptidyl transferase)	cysteine-type peptidase activity [GO:0008234]; dipeptidyl-peptidase activity [GO:0008239]		proteolysis [GO:0006508]
G4VG47	Protein transport protein Sec61 subunit beta		Sec61 translocon complex [GO:0005784]	intracellular protein transport [GO:0006886]
G4VG55	Coatomer subunit epsilon	structural molecule activity [GO:0005198]	cytoplasmic vesicle [GO:0031410]; Golgi membrane [GO:0000139]	protein transport [GO:0015031]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]
G4VG91	N-alpha-acetyltransferase 40 (EC 2.3.1.257)	histone H2A acetyltransferase activity [GO:0043998]; histone H4 acetyltransferase activity [GO:0010485]	cytoplasm [GO:0005737]; nucleus [GO:0005634]	
G4VGA5	Sodium/potassium-transporting ATPase subunit alpha	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; metal ion binding [GO:0046872]; P-type potassium transmembrane transporter activity [GO:0008556]	plasma membrane [GO:0005886]	
G4VGH9	Inactive uridine phosphorylase B (SmUPb)	catalytic activity [GO:0003824]; identical protein binding [GO:0042802]	cytoplasm [GO:0005737]	nucleoside metabolic process [GO:0009116]; nucleotide catabolic process [GO:0009166]
G4VGM0	Mediator of RNA polymerase II transcription subunit 7	transcription coregulator activity [GO:0003712]	mediator complex [GO:0016592]	regulation of transcription by RNA polymerase II [GO:0006357]
G4VGN3	Coiled-coil alpha-helical rod protein 1 (Alpha-helical coiled-coil rod protein)		cytoplasm [GO:0005737]; nucleus [GO:0005634]	cell differentiation [GO:0030154]
G4VGN6	Phosphatidylinositol 4-kinase type 2 (EC 2.7.1.67)	1-phosphatidylinositol 4-kinase activity [GO:0004430]; ATP binding [GO:0005524]	plasma membrane [GO:0005886]	
G4VGS4	Serine/threonine-protein phosphatase (EC 3.1.3.16)	myosin phosphatase activity [GO:0017018]		
G4VH15	Palmitoyltransferase (EC 2.3.1.225)	protein-cysteine S-palmitoyltransferase activity [GO:0019706]	membrane [GO:0016020]	
G4VH28	40S ribosomal protein S18	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]	translation [GO:0006412]
G4VH38	DNA-directed RNA polymerase subunit (EC 2.7.7.6)	DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]	DNA-directed RNA polymerase complex [GO:0000428]; nuclear lumen [GO:0031981]	DNA-templated transcription [GO:0006351]
G4VH46	40S ribosomal protein S2	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	small ribosomal subunit [GO:0015935]	translation [GO:0006412]
G4VH48	Secretory carrier-associated membrane protein (Secretory carrier membrane protein)		membrane [GO:0016020]	protein transport [GO:0015031]
G4VH55	ATP-dependent DNA helicase (EC 3.6.4.12)	ATP binding [GO:0005524]; helicase activity [GO:0004386]; hydrolase activity [GO:0016787]; nucleic acid binding [GO:0003676]	nucleus [GO:0005634]	DNA recombination [GO:0006310]
G4VH69	Crossover junction endonuclease MUS81 (EC 3.1.22.-)	crossover junction DNA endonuclease activity [GO:0008821]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]	Holliday junction resolvase complex [GO:0048476]; nucleus [GO:0005634]	DNA catabolic process [GO:0006308]; double-strand break repair via break-induced replication [GO:0000727]
G4VHA2	ATP-dependent RNA helicase (EC 3.6.4.13)	ATP binding [GO:0005524]; helicase activity [GO:0004386]; hydrolase activity [GO:0016787]; RNA binding [GO:0003723]		
G4VHA3	Phosphatidylinositol-glycan biosynthesis class X protein		endoplasmic reticulum membrane [GO:0005789]	GPI anchor biosynthetic process [GO:0006506]
G4VHA4	Tyrosine-protein kinase (EC 2.7.10.2)	ATP binding [GO:0005524]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]		protein phosphorylation [GO:0006468]
G4VHB4	Structural maintenance of chromosomes protein	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	cohesin complex [GO:0008278]; nucleus [GO:0005634]	sister chromatid cohesion [GO:0007062]
G4VHB6	Histone-lysine N-methyltransferase (EC 2.1.1.355)	histone H3K9 trimethyltransferase activity [GO:0140949]; zinc ion binding [GO:0008270]	chromosome, centromeric region [GO:0000775]; nucleus [GO:0005634]	histone lysine methylation [GO:0034968]
G4VHD9	T-complex protein 1 subunit delta	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; unfolded protein binding [GO:0051082]	cytoplasm [GO:0005737]	
G4VHF6	Mediator of RNA polymerase II transcription subunit 8 (Mediator complex subunit 8)	transcription coregulator activity [GO:0003712]	mediator complex [GO:0016592]	regulation of transcription by RNA polymerase II [GO:0006357]
G4VHI6	N-terminal amino-acid N(alpha)-acetyltransferase NatA (EC 2.3.1.255)	peptide alpha-N-acetyltransferase activity [GO:0004596]	NatA complex [GO:0031415]	N-terminal protein amino acid acetylation [GO:0006474]
G4VHJ2	small monomeric GTPase (EC 3.6.5.2)	G protein activity [GO:0003925]; GTP binding [GO:0005525]		Rab protein signal transduction [GO:0032482]
G4VHK8	Tubulin beta chain	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; structural constituent of cytoskeleton [GO:0005200]	microtubule [GO:0005874]	microtubule-based process [GO:0007017]
G4VHM6	Translocon-associated protein subunit delta (Signal sequence receptor subunit delta)		endoplasmic reticulum membrane [GO:0005789]	
G4VHP9	Beta-hexosaminidase (EC 3.2.1.52)	beta-N-acetylhexosaminidase activity [GO:0004563]; N-acetyl-beta-D-galactosaminidase activity [GO:0102148]		carbohydrate metabolic process [GO:0005975]
G4VHU7	V-type proton ATPase proteolipid subunit	proton-transporting ATPase activity, rotational mechanism [GO:0046961]	proton-transporting V-type ATPase, V0 domain [GO:0033179]; vacuolar membrane [GO:0005774]	
G4VHV5	Putative camp-regulated phosphoprotein	protein phosphatase inhibitor activity [GO:0004864]	cytoplasm [GO:0005737]	cell cycle [GO:0007049]; cell division [GO:0051301]
G4VHW3	Cyclin-dependent kinases regulatory subunit	cyclin-dependent protein serine/threonine kinase regulator activity [GO:0016538]		cell cycle [GO:0007049]; cell division [GO:0051301]
G4VHW7	Vesicle transport protein		membrane [GO:0016020]	protein transport [GO:0015031]; vesicle-mediated transport [GO:0016192]
G4VI00	Geranylgeranyl transferase type-2 subunit beta (EC 2.5.1.60)	metal ion binding [GO:0046872]; Rab geranylgeranyltransferase activity [GO:0004663]	Rab-protein geranylgeranyltransferase complex [GO:0005968]	protein geranylgeranylation [GO:0018344]
G4VI66	Annexin	calcium ion binding [GO:0005509]; calcium-dependent phospholipid binding [GO:0005544]		
G4VI93	Mitochondrial import inner membrane translocase subunit TIM22	protein transmembrane transporter activity [GO:0008320]	TIM22 mitochondrial import inner membrane insertion complex [GO:0042721]	protein insertion into mitochondrial inner membrane [GO:0045039]
G4VIB9	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8		mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; respirasome [GO:0070469]	mitochondrial electron transport, NADH to ubiquinone [GO:0006120]
G4VIG3	Ribonucleoside-diphosphate reductase (EC 1.17.4.1)	ATP binding [GO:0005524]; ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor [GO:0004748]		deoxyribonucleotide biosynthetic process [GO:0009263]; DNA replication [GO:0006260]
G4VIK8	60S ribosomal protein L29	structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]	translation [GO:0006412]
G4VIL2	Innexin		gap junction [GO:0005921]; plasma membrane [GO:0005886]	monoatomic ion transport [GO:0006811]
G4VIM8	RuvB-like helicase (EC 3.6.4.12)	ATP binding [GO:0005524]; ATP-dependent activity, acting on DNA [GO:0008094]; helicase activity [GO:0004386]; hydrolase activity [GO:0016787]	nucleus [GO:0005634]	
G4VIN1	non-specific serine/threonine protein kinase (EC 2.7.11.1)	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]		protein phosphorylation [GO:0006468]
G4VIT0	alkaline phosphatase (EC 3.1.3.1)	alkaline phosphatase activity [GO:0004035]		
G4VIT7	Mediator of RNA polymerase II transcription subunit 20 (Mediator complex subunit 20)	transcription coregulator activity [GO:0003712]	mediator complex [GO:0016592]	regulation of transcription by RNA polymerase II [GO:0006357]
G4VIT8	Dolichol-phosphate mannosyltransferase subunit 1 (EC 2.4.1.83)	dolichyl-phosphate beta-D-mannosyltransferase activity [GO:0004582]	endoplasmic reticulum [GO:0005783]	protein glycosylation [GO:0006486]
G4VIV5	Ubiquitin carboxyl-terminal hydrolase (EC 3.4.19.12)	cysteine-type deubiquitinase activity [GO:0004843]; K48-linked deubiquitinase activity [GO:1990380]; K48-linked polyubiquitin modification-dependent protein binding [GO:0036435]		protein K48-linked deubiquitination [GO:0071108]
G4VIZ2	Cytochrome b-c1 complex subunit 8 (Complex III subunit 8) (Complex III subunit VIII)		mitochondrial respiratory chain complex III [GO:0005750]	mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]
G4VIZ3	RBR-type E3 ubiquitin transferase (EC 2.3.2.31)	metal ion binding [GO:0046872]; ubiquitin-protein transferase activity [GO:0004842]		protein ubiquitination [GO:0016567]
G4VIZ9	serine--tRNA ligase (EC 6.1.1.11) (Seryl-tRNA synthetase)	ATP binding [GO:0005524]; serine-tRNA ligase activity [GO:0004828]		seryl-tRNA aminoacylation [GO:0006434]
G4VJ06	non-specific serine/threonine protein kinase (EC 2.7.11.1)	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]		protein phosphorylation [GO:0006468]; response to stimulus [GO:0050896]
G4VJ07	U6 snRNA phosphodiesterase (EC 3.1.4.-)	lyase activity [GO:0016829]; poly(U)-specific exoribonuclease activity, producing 3' uridine cyclic phosphate ends [GO:1990838]	nucleus [GO:0005634]	U6 snRNA 3'-end processing [GO:0034477]
G4VJ11	Aspartate--tRNA ligase, cytoplasmic (EC 6.1.1.12) (Aspartyl-tRNA synthetase)	aspartate-tRNA ligase activity [GO:0004815]; ATP binding [GO:0005524]; nucleic acid binding [GO:0003676]	cytoplasm [GO:0005737]	aspartyl-tRNA aminoacylation [GO:0006422]
G4VJ62	26S proteasome complex subunit SEM1		nucleus [GO:0005634]; proteasome regulatory particle, lid subcomplex [GO:0008541]	double-strand break repair via homologous recombination [GO:0000724]; mRNA export from nucleus [GO:0006406]; proteasome assembly [GO:0043248]
G4VJ65	Putative paired box protein pax-6	DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]	nucleus [GO:0005634]	anatomical structure development [GO:0048856]
G4VJ82	Cytoplasmic tRNA 2-thiolation protein 2	nucleotidyltransferase activity [GO:0016779]; tRNA binding [GO:0000049]	cytoplasm [GO:0005737]	protein urmylation [GO:0032447]; tRNA thio-modification [GO:0034227]; tRNA wobble uridine modification [GO:0002098]
G4VJB3	histone acetyltransferase (EC 2.3.1.48)	histone acetyltransferase activity [GO:0004402]	microtubule organizing center [GO:0005815]; nucleus [GO:0005634]	regulation of DNA-templated transcription [GO:0006355]
G4VJB9	ceramide glucosyltransferase (EC 2.4.1.80)	ceramide glucosyltransferase activity [GO:0008120]; dihydroceramide glucosyltransferase activity [GO:0102769]	membrane [GO:0016020]	sphingolipid metabolic process [GO:0006665]
G4VJE5	Protein Wnt	signaling receptor binding [GO:0005102]	extracellular region [GO:0005576]; membrane [GO:0016020]	Wnt signaling pathway [GO:0016055]
G4VJF6	mRNA export factor GLE1 (GLE1 RNA export mediator) (Nucleoporin GLE1)		nuclear pore [GO:0005643]	poly(A)+ mRNA export from nucleus [GO:0016973]; protein transport [GO:0015031]
G4VJG1	RNA helicase (EC 3.6.4.13)	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; nucleic acid binding [GO:0003676]; RNA helicase activity [GO:0003724]		RNA splicing [GO:0008380]
G4VJH0	Palmitoyltransferase (EC 2.3.1.225)	protein-cysteine S-palmitoyltransferase activity [GO:0019706]	membrane [GO:0016020]	
G4VJM1	Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8)	peptidyl-prolyl cis-trans isomerase activity [GO:0003755]		protein folding [GO:0006457]; protein peptidyl-prolyl isomerization [GO:0000413]
G4VJN6	ATP synthase subunit e, mitochondrial	proton transmembrane transporter activity [GO:0015078]	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) [GO:0000276]	proton motive force-driven ATP synthesis [GO:0015986]
G4VJQ0	DNA helicase (EC 3.6.4.12)	ATP binding [GO:0005524]; ATP-dependent chromatin remodeler activity [GO:0140658]	nucleus [GO:0005634]	
G4VJS1	Putative 60s acidic ribosomal protein P1	structural constituent of ribosome [GO:0003735]	cytosolic ribosome [GO:0022626]; ribonucleoprotein complex [GO:1990904]	translational elongation [GO:0006414]
G4VJU5	Origin recognition complex subunit 4	DNA binding [GO:0003677]	nucleus [GO:0005634]; origin recognition complex [GO:0000808]	DNA replication [GO:0006260]
G4VJV9	Putative syntaxin		Golgi apparatus [GO:0005794]; membrane [GO:0016020]	Golgi vesicle transport [GO:0048193]
G4VJW9	U3 small nucleolar RNA-associated protein 11 (U3 snoRNA-associated protein 11)		nucleolus [GO:0005730]; small-subunit processome [GO:0032040]	rRNA processing [GO:0006364]
G4VJX8	ATP synthase subunit b	proton transmembrane transporter activity [GO:0015078]	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) [GO:0000276]	proton motive force-driven ATP synthesis [GO:0015986]
G4VK07	Vacuolar protein-sorting-associated protein 36 (ESCRT-II complex subunit VPS36)	phosphatidylinositol-3-phosphate binding [GO:0032266]; ubiquitin binding [GO:0043130]	ESCRT II complex [GO:0000814]; late endosome membrane [GO:0031902]	protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway [GO:0043328]
G4VK44	Protein-L-isoaspartate O-methyltransferase (EC 2.1.1.77)	protein-L-isoaspartate (D-aspartate) O-methyltransferase activity [GO:0004719]		methylation [GO:0032259]; protein modification process [GO:0036211]
G4VK45	Protein-L-isoaspartate O-methyltransferase (EC 2.1.1.77)	protein-L-isoaspartate (D-aspartate) O-methyltransferase activity [GO:0004719]		methylation [GO:0032259]; protein modification process [GO:0036211]
G4VKB6	RNA-binding protein NOB1	metal ion binding [GO:0046872]; RNA endonuclease activity [GO:0004521]	nucleus [GO:0005634]	cleavage involved in rRNA processing [GO:0000469]; ribosomal small subunit biogenesis [GO:0042274]
G4VKB7	Pre-mRNA-splicing factor SYF2		spliceosomal complex [GO:0005681]	mRNA splicing, via spliceosome [GO:0000398]
G4VKD1	Putative vacuolar ATP synthase proteolipid subunit	proton-transporting ATPase activity, rotational mechanism [GO:0046961]	proton-transporting V-type ATPase, V0 domain [GO:0033179]	
G4VKH6	Putative centromere protein A (Cenp-A) (Centromere autoantigen A)	DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]; structural constituent of chromatin [GO:0030527]	nucleosome [GO:0000786]	
G4VKI9	Phosphatidate cytidylyltransferase (EC 2.7.7.41)	phosphatidate cytidylyltransferase activity [GO:0004605]	membrane [GO:0016020]	CDP-diacylglycerol biosynthetic process [GO:0016024]
G4VKK2	Mediator of RNA polymerase II transcription subunit 19 (Mediator complex subunit 19)	transcription coregulator activity [GO:0003712]	mediator complex [GO:0016592]	regulation of transcription by RNA polymerase II [GO:0006357]
G4VKK3	Mitochondrial import inner membrane translocase subunit		mitochondrial inner membrane [GO:0005743]	protein transport [GO:0015031]
G4VKR5	Clathrin light chain	structural molecule activity [GO:0005198]	clathrin coat of coated pit [GO:0030132]; clathrin coat of trans-Golgi network vesicle [GO:0030130]	intracellular protein transport [GO:0006886]; vesicle-mediated transport [GO:0016192]
G4VKV4	Signal recognition particle 54 kDa protein	7S RNA binding [GO:0008312]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]	endoplasmic reticulum [GO:0005783]; signal recognition particle, endoplasmic reticulum targeting [GO:0005786]	SRP-dependent cotranslational protein targeting to membrane [GO:0006614]
